date,geo,conversions,revenue,population,meta_spend,meta_impressions,google_spend,google_impressions,tiktok_spend,tiktok_impressions,is_holiday,product_launch,newsletter_organic,blog_organic,promotion_discount_treatment,tiktok_reach,tiktok_frequency
2023-01-02,US,1523,15230,330000000,5000,1200000,3000,800000,1500,450000,0,0,302,413,0.2,270000,1.7
2023-01-02,UK,412,4120,67000000,2000,500000,1800,480000,800,240000,0,0,635,121,0.0,144000,1.7
2023-01-02,AU,287,2870,26000000,1200,300000,700,190000,400,120000,0,0,470,352,0.2,72000,1.7
2023-01-09,US,1612,16120,330000000,5200,1260000,3500,920000,1200,360000,0,0,306,335,0.1,216000,1.7
2023-01-09,UK,438,4380,67000000,2100,520000,1650,440000,950,285000,0,0,271,444,0.1,171000,1.7
2023-01-09,AU,301,3010,26000000,1250,310000,850,230000,350,105000,0,0,220,148,0.1,63000,1.7
2023-01-16,US,1489,14890,330000000,4800,1150000,2800,750000,1800,540000,0,0,321,158,0.0,324000,1.7
2023-01-16,UK,402,4020,67000000,1900,480000,1400,370000,1100,330000,0,0,666,269,0.1,198000,1.7
2023-01-16,AU,279,2790,26000000,1150,290000,600,160000,500,150000,0,0,414,287,0.0,90000,1.7
2023-01-23,US,1701,17010,330000000,5500,1320000,3200,860000,1400,420000,0,0,530,370,0.1,252000,1.7
2023-01-23,UK,459,4590,67000000,2200,550000,1550,410000,900,270000,0,0,658,289,0.2,162000,1.7
2023-01-23,AU,319,3190,26000000,1300,330000,750,200000,450,135000,0,0,287,274,0.2,81000,1.7
2023-01-30,US,1834,18340,330000000,6000,1440000,2900,780000,2200,660000,0,1,572,150,0.15,396000,1.7
2023-01-30,UK,495,4950,67000000,2400,600000,1300,350000,1400,420000,0,1,299,463,0.2,252000,1.7
2023-01-30,AU,344,3440,26000000,1400,360000,650,175000,650,195000,0,1,330,154,0.15,117000,1.7
2023-02-06,US,1756,17560,330000000,5800,1400000,3600,960000,1100,330000,0,0,508,343,0.2,198000,1.7
2023-02-06,UK,474,4740,67000000,2300,580000,1700,450000,750,225000,0,0,543,419,0.0,135000,1.7
2023-02-06,AU,329,3290,26000000,1350,345000,800,215000,380,114000,0,0,691,230,0.2,68400,1.7
2023-02-13,US,1923,19230,330000000,6500,1560000,3100,830000,1900,570000,0,0,613,406,0.15,342000,1.7
2023-02-13,UK,519,5190,67000000,2600,650000,1450,385000,1200,360000,0,0,585,234,0.15,216000,1.7
2023-02-13,AU,360,3600,26000000,1500,390000,720,195000,550,165000,0,0,391,120,0.1,99000,1.7
2023-02-20,US,1645,16450,330000000,5300,1280000,3400,910000,1300,390000,0,0,476,428,0.0,234000,1.7
2023-02-20,UK,444,4440,67000000,2100,530000,1600,425000,850,255000,0,0,360,266,0.2,153000,1.7
2023-02-20,AU,308,3080,26000000,1250,315000,680,180000,420,126000,0,0,659,373,0.1,75600,1.7
